English,Gondi
"A comedian, with his words, makes everyone laugh.","वर्रोर कविहवाला जेलकार, आपुनांग पल्लो, ने सपय कुन कवला काजे मजबुर कितुर।"
Many such efforts are underway in different parts of the country.,बुम ते कोटुह-कोटुह ने इदाम ना कोसित चालू मन्ता।
Indian sea voyages are a medium of adventure as well as knowledge.,भारतीय समुन्द पार कीयाना यात्रा कूबैय गिर्रदा त संग-संग ज्ञान त गेला मावा जरिया आन्द।
I wish Bhai Jagdish Trivedi ji all the very best for his social work.,"नना, तमोर्र जगदीश त्रिवेदी जीन ओनंग बुमकाल बूतोना बाटा कुबैय-कुबैय आसिद हिययतोना।"
The beauty of the sea changes every moment.,समुन्द त सोबा गड़ी-गड़ी बदले मान्ता।
"Alajiram has only one mantra: ""There is happiness in idleness.""",आलसीराम न उन्द गुन आन्द असादी ते सुख मता।
This will make life easier for patients and reduce their discomfort.,अदेनाय गिरहोलरा जीनगी सरेल बने मायर ओना दुख उच्चुय कमी आयर।
Thank you soo much.,नीकुन वेल्लेय-वेल्लेय सेवामान।
It also has a large number of experienced artists.,इप्पे बेरहोर-बेरहोर पुन्दलेर जेलकारलोर गला मंतोर।
The water from the rivers is also used for domestic purposes.,बेरेल त एर्ट लोता उपयोग ते गल्ला वायता।
"The organization is in Srikakulam, Andhra Pradesh and is named'Belgipuram Youth Club '.",इद संस्था आन्ध्र्र प्रदेश ता श्री काकु लम ते मन्ता अन इदेना पोरोय मन्ता बेलजी पुरम यूथ क्लब।
"Actually, there is an interesting story behind this.",असलीते इदेना पर्के गला उन्द सोबले पल्लो मंता।
Lazy Ram sometimes thinks that this laziness is not good.,आलसीराम बेसके बेसके सोचे कीन्दूर आन ओर असदपन ठीक आयो।
The Himalayan heights present immense natural beauty.,हिमालय त उच्चाई कुबैय पुटले त सोबा तुन वेहला कियायता।
I will try to cover as many of the suggestions as possible in the address on 15 August.,ननना कुबैय-कुबैय सलाहीनुंग 15 अगस्त ते वेहनाते बवअमत कियना ता कोसित कियका।
The Himalayas are the highest and largest mountain range in the Indian mountain range.,भारतीय मेटा लाईन ते हिमालय सबले अन बेरहा मेटा आन्द।
A trip to the sea by moonlight is magical.,समुन्द ते लेन्लेंज त वेहच ते सफर कीयाना जादू लेहका आन्द।
So share more of these examples with me.,ते निम्मा गला इदानंग उदाहरणी नूंग जादा से जादा नावा संग वड़ वेहा।
"In such a situation, when the country has announced the Padma Awards three days ago, it is natural to discuss such people in'Mann Ki Baat '.",इदमे मुंद दियांग मुन्ने इद देश ते पद्मा पुरस्कारी नुंग वेहतुर तो (मन की बात) गोक ता पोल्लो दे इदमना मानेयलोरा बाटा वड़कना जरूरी आंद।
Water sports are also fun to experience.,वाटर स्पोटर््स त पुन्दाना गेला मजेदार आन्ता।
"In this too, community efforts are yielding great results.",इप्पेडे गला सबजिन कोसित ते गला वलेय सफलता पुटयता।
He has done a lot of work to revive the traditional medicine system of the Adi tribe.,इद तयहातह मनवालोर मानैय ता पुरकाता ईलाज कियना तरीका तुन पेर जीवेह कीला काजे कुबैय बूतो कीता।
2024 is now just a few hours away.,दो हजार चौबिस इदेक उचुके घंटंग लेक मंता।
The scenic and picturesque scenery is interspersed with rivers.,सोबले अन सोबाय हुड़ाना बेरेह न संग जोड़े मायतंग।
Walking on the beach and taking in the fresh air is relaxing.,समुन्द ओदा-ओदा दायना अन ताजा-ताजा वेड़ एताना सुकून लेहका आन्ता।
There has been a lot of curiosity across the country to know about the life journey of these inspiring people.,इव पदेचपतपदह मानैयता जीमगी चलेह कीयाना त बारे ते पुन्दाना तुन देश मेटै कूबैय गिरदा दिशता।
"With the help of time planning, we can reduce stress and increase our productivity.",टेम तैयार कीयाना संग ता माटलोर बोझा ता कम कीनतोर अन अपनी पैदा कियाना तून बेड़सहना कीत।
"You must have seen, in the last few days, many new songs, new bhajans, have been made about Shri Ram and Ayodhya.","निम्मट हूड़तोरीट होही, हंदलेंग हुचुक दियाने श्री राम अन अयोध्या ता बारे ते कयोटड़ पूनंग पाटंग, पूनंगभजनिंग पंडलेंग आतंग।"
He has also been honoured with several awards for his social work.,ओन बुमकाल बूतोना बाटा गला कयोरड़ इनाम तंग सीना ने मानगून कीले आता।
He wants everything to happen on its own.,ओना इन्दाना आन्दता सब काम अपने आप आयार।
Some organizations are making people aware of organ donation.,उचूक सल्ला तंग गुंदा मानैय लोर मेंदूर हिलाय कर्रहायतोर।
People share this journey with their family and friends.,मानेय इद यात्रा ते आपूना परिवार अन गोतियाकन संग लेन-देन कीयाना।
That is all for today in'Mann Ki Baat '.,‘‘गोक ता पोल्लो’’ते नेंड मातरा इच्चोय।
Another achievement of'Mann Ki Baat'is that it has made radio more popular at home.,गोका पोल्लो’’ दा उन्दपेर उपलब्धि आंद कि वेर रेडियों नुंग लोहक-लोहक ने मानेयतुन लोकप्रिय पकले आटा।
Local markets can be visited for sea ingredients.,समुन्द सामान त बाटा स्तानीय हाटूम ते वेलीना आया पर्रता।
"During the'Jal Utsav'held in Amreli, efforts were made to raise awareness among the people on'water conservation'and conservation of lakes.",अमरेलर ता रच्चा ते जल उत्सव ता बेरा (जल) एर्र गुडहाना अन जलका नुंग पीसहाना जनता तुन चेतेह कीयाना ता उपाय कीतुर।
Most of these women are doing some work of their own today.,इपेडे बेल्ले आस्का नेन्ड आयुना बदेन बदे बूतो अपुहके कीन्तंग।
This education helps to establish a balance between work and personal life.,इधर शिक्षा काम अन पोगरी जिनगी ते उन्द रूप जोड़े कियाना ते काम आन्ता।
"It showed how Nari Shakti is protecting the country in every field, be it water, land, cyber or space.",अपेडे तोहतुर कि मुयवहना लाव एर्र नेल बुम कप्यूटर नेटवर्क अन जोजोन तंग सपय हरिने देश तुन ओड कीस के पयतंग।
This is the first'Mann Ki Baat'programme of 2024.,2024 ता इद पहली गोक ता पोल्लो कार्यक्रम आंन्द।
Numerous rivers originate in the Indian mountain ranges.,भारतीय मेटाक न लाईन ते कुबैय बेरेहक उपजे मायतंग।
"Jabra Eco Tourism is an emerging tourist destination for hiking, trekking, nature trail walks.",जबर्रा ईको टूरिज्म लाटींग ताकसोर दायना टेªकिंग नेचर ट्रेल वॉक ता उन्द उभरे मायले सोबाय हूड़ना डेरा मंता।
The Indian mountain range has several national parks.,भारतीय मेटाक न लाईन ते कुबैय राष्ट्रीय उद्यान मंता।
The entire day of Alirajram passes by sleeping.,आलसीराम ना पूरा दिया हुसकड़-हुसकड़ ते बीतेमान्द।
Playing in the waves of the sea is special for children.,समुन्द त लहर ते कर्रसमा पीलाना बाटा खास मन्ता।
"When there is a collective effort towards a goal, the level of success is also high.",बैसकेय बोदे निशान तुन मिलेमास कोसित आंता तब सफलता ता मान गला वेलम ऊंच आंता।
The ability to make decisions at the right time is developed.,सही टेम ते फैसला कीयाना लाव बेड़सहना आन्द।
"Just a few days ago, in Indore, famous for its cleanliness, a grand event took place.",इदेक उच्चुक दिया मुन्ने स्वच्छता ता बाटा नामजागी इंदौर ते उन्द जोरदार जलसा आत।एर।
This journey should prepare you to face new challenges.,इद यात्रा ते आअपूना पुना मुस्कुहा काम तून मुकाबला कीयाना बाट समरे मास मन्दाना।
Some songs and bhajans have also been shared by me on my social media.,उचुक पाटंग अन भजनिनुंग तो नना गला आपुना ेवबपंस मीडिया ते हालिहतोना।
"Here, all the episodes of'Mann Ki Baat'can be heard so far.",इगा ‘‘गोक ता पोल्लो ’’ अन इदेक अवनह सपोय मचपेवकम केंजला पर्रतोरीट।
The organisation helps these women in preparing bio products.,इद गुन्दा जैविक उपजे माले जोंग तुन कीलाह इस मुयतह कु संग हियता।
"On the evening of 22 January, the entire country celebrated Diwali by lighting Ramjyotis.",22 जनवरी ता नुलपेह पहर कुडुहने देश लोर राम डीया पोतिह तूर डीवाड़ मानेमातूर।
"This time too, many such countrymen have been given Padma awards who have worked to bring big changes in the society by connecting with the land.",इद बेरा गला इदामे बचोक अन बचोक देश ते जनवा लोर कुन पद्य सम्मान हितोर वेर्क जागा तह जोड़े मास भूमकाल ते बेरहा-बेरहा कियाना ता बुतो कीतोर।
"So after that, they will not take home the income from their programs but spend it on society.",तो ओना पर्के ओनांग कार्यकरमींग न धन वायर अदेन लोन ओयोर आयनुर अदेन कुटुम तह् बाटा करचा कियानुर।
"This shows that the prestige of the Padma award, its credibility, its respect, is increasing every year.",इपेडे पता पुटायता की पद्य सम्मान ता वरसून बड़सोर दान्ता।
"This collection will become a flow of emotions, of devotion, in which everyone will become Rama-maya.","इव गूदिहलेंग, बिचारिनुंग, माड़ाना, ना इदम पोंगनप हालानुंग, अप्पे बोरे गला रामनंग पाटामे रमे मायनुर।"
"This honor has also been given to those who have done very brilliant work in Prakrit, Malvi and Lambadi language.",प्राकृत मालवी अन लम्बाड़ी लबेज ते कुबैय बेस बूतो केवालोर कून गला इद मान हिले आता।
Many consider this trip to be the greatest experience of their lives.,कूबैय मानेय इद यात्रा ते आपूना जीवन त कूबैय बेहा अनुभव माने मान्तोर।
