English,Mundari
Tissue - sinful wrongdoings have not been seen in them.,टिसु-इनकुरे पोएपाप का लेलत्र्प्रकना।
Jojohatu - Did I go to your father's door? The long-toothed ghost!,जोजोहतु - हपुमअः दुअरते चि’नाइङ सेनकेना? डड़ोसा एरा!
"Be happy, daddy, are you okay?","बुगिआकान तइनमे, बाबू। बुगिगे आपे चि?"
The world was transformed in a matter of days by the outbreak of the pandemic.,महामारीअः बलय ते गोटा दुनिया हुड़िङ दिन रे गे बदलव लेना।
"These people, even though they live in such dense forests, they speak in Nagpuria or Hindi, so I am getting suspicious.",इनकु अमिनङ बिर दिसुमरेको तइनतनरेओ दिकुतेको जगरअ; एनामेनते अड़अः उड़ू: कअः इञअ।
"His daughter (Sukuru) - Baba! has gone to shoot the spade, perhaps will come soon.","होनते कुड़ि (सुकुरु) - चलुःते, अबाए सेनअकना; नेःगेए हिजुअ जाअः ।"
"Many kinds of crises, problems, troubles, hunger, thirst, sorrow, pain have spread and formed India and the state of Jharkhand.","रोकोम सोकोटो, बलय, सदोव, रेंगे-तेतंङ दुःखु-दसा ते भारत दिसुम च झारखंड राइज फैल लेना च बइअ कना।"
"After returning from the river, Datuvan wine was distributed, followed by Khassi Katta.","गड़ाएतेको रकब्जनते, करकद् इलि तिलजना; एन तयोमतेदो मेरोमको मअःजना।"
"In this, the central government can give orders to the provincial or local governments.",नेअ रे केंद्रीय सरकार प्रांतीय च स्थानीय सरकार को ए आदेश ओम दड़िअ कोअ।
That is how you reached us.,एनतअ: जगरजद् लोःदोम तेबअः तद्लेअ ।
"The villagers had already received news of Dalton's arrival, so the villagers went to the top of the hill.",डाल्टन हिजुःअ मेनेअः हातु होड़ो को सिदा रेगे को इतु लअः एना मेन्ते इनकु बुरु चुटि तेको सेनोः जना।
"At this time, some monkeys came and took away the little girl.",एना लोः दो गड़ी को हुड़िङ नीः को अरकीद किःया।
Do you also plough buffaloes in a bullock cart?,उरिःसगडिरेकेडा को कोचिपे जोड़ाजकोआ?
"Kavita - Yes, yes once I was watching the moon from my terrace.",कविता- हे! गे मिसा अइञ् ओड़अः चेतना आते चंडुः केइङ लेल तन तइकेना।
"I asked both the doctors in advance whether I could be good or not, most of them are dying of this disease in old age.","""बुगिओअइङ चि काइङ बुगिओ मेनतेदो बुइदिकिङ ओते अइङ सिदारे मुनडिलअः; हड़मरे ने दुकु नमकेद्को पुरअःतेको गोजोःतनगे।"
"From over bridges and school walls to slums, he started carving his skills and people started getting along with him and in a way, this process continued.","ओबर ब्रिज ओड़ोः इसकुल रेअः भीइत छपरी आते कंबा गुथुः जकेद, इनिः अएअः होनर के देखाओ एटेः केदा तोबे दो होड़ोकोअः देंगाओ नम इदिजना गेआ ओड़ोः मोद् रोकोम ते ने सिलसिला सेनोः होबाजना।"
