Unnamed: 0,Hindi,Bhili
530,यह फिल्म अकादमी पुरस्कारों के लिए भारत की ओर से भेजी गई फिल्म थी।,ये फिलम अकादमी इलामो हारु भारत नी तरफ थी मोकलेली फिलम हती।
291,कुछ लोगों ने भारत की हमारी यूनिवर्सिटीज ग्‍लोबल बने इसके लिए सुझाव दिया।,कईंना लोकुंईं भारत नीं हमारी यूनिवर्सिटीज ग्‍लोबल बणें इनां हारूं रॉय आली।
522,आज भी हमारे देश में Medical Education के लिए हमारे बच्‍चे बाहर जा रहे हैं। वो ज्‍यादातर मध्‍यम वर्ग परिवार के हैं।,आज पण अमारा देह मा मेडिकल एजुकेशन हारु अमारा सारां बाहरते जाइरियां से। वी वदारे थी वसमावाकां जातियु परिवारु ना से |
339,ये शब्द खेल में उपयोग किए जाने वाले पोल को भी संदर्भित करता है।,यो हबद रमना मा उपयोग करवानू मोटू खबो उदो करूयो
216,बाजीराव ने अपना बचपन अपने पिता की सासवड की नई अधिगृहीत जागीर में बिताया।,बाजीराव ने अपडो बचपन आपडा पिताजी नी सासवद नी नवी अधिग्रहित जागीर मा रहीया।
92,"200 से ज्‍यादा event किए, पूरे विश्व में G-20 का इतना बड़ा व्‍यापक कार्यक्रम कभी नहीं हुआ, इस बार हुआ।","200 ही वदू event करिया पूरी दनिया मां G-20 नो एतरों मोटो कार्यक्रम केरांपण नी थईयू ,पण इनी वखत थइयू ।"
306,"उन्होंने 100 से अधिक मेडिकल कैंप्स का आयोजन किया, जिससे लोगों की स्वास्थ्य समस्याओं का समाधान हुआ।",तिहुंये 100 थी वदूं दवा-वाळां सिविर लगाडियां से। जिनथी लोकुं नें डील रोग नी काहटी थी सूटकारों मळयों से।
187,"राज्य के खर्चों को पूरा करने के लिए औरंगजेब ने भूमि करों में वृद्धि का आदेश दिया, जिसका बोझ हिंदू जाटों पर बहुत अधिक पड़ा।","राज्य ना खर्चा ने पूरा करवा हारू औरंगजेब थी भुमिकरो (जमा) माँ वदारो वानो आदेश (हुक्म )आल्यो ,तिनो बोझो हिन्दू जाटो पर घणो वादार पड्यो |"
554,"फिल्मों से सात साल के अंतराल के बाद, हासन नृत्य-परिकल्पक थंकप्पन के प्रशिक्षु बन, एक नृत्य सहायक के रूप में वापस आए।",फिल्मीयो ना हात वराह ना गैप बाद हासन नासवा परिकल्प थंकप्पन नो प्रशिक्षु बणी ग्यो एक नासवा वाला (वाका) मददगार ना रूप मा पासो आयो।
141,"सुनीता देवी: जी सर, ड्रोन देखने के लिए बहुत भीड़ लग जाती है, और कई बड़े किसान हमारा नंबर लेकर हमें बुलाने की बात करते हैं।","हॉं सर, घणां-घणां लेाकु देखवा वाळां नी भीड लागी जाये से नरा-नारा करषांण म्‍हारां नऋ लिन तिहुन तां बोलावें से।"
555,"28 मई 1633 को, औरंगजेब उस समय मृत्यु से बाल-बाल बचे जब एक शक्तिशाली युद्ध हाथी ने मुगल शाही शिविर में घुसकर भगदड़ मचा दी।",२८ मई १६३३ मा औरंगजेब तिना समय (वखत ) मरणा थी थोड़ो क वस्यो जेट एक ताकतवर लड़ाई हाथी थी मुग़ल शाही शिविर माँ भरा ई ने भगदड़ (भगा दौड़ी ) मचाली दे दी |
71,"सरकार को बताइए कि बिना कारण की कठिनाई आए, उसको दूर करने से कोई नुकसान नहीं है, मैं पक्‍का मानता हूं आज सरकारें संवेदनशील हैं।","सरकारू ने बताडिये के वगर कारणु नी काहटियु आवे, तिहुने सेटी करवा थी कईनु पण नुकसानु नी से, हुं खाज मानु से आजे सरकारू घणी होसावा वाळी से ।"
402,"नागरिकों को Dignity of Citizen, नागरिकों के जीवन में सम्‍मान मिलें, डिलिवरी के संबंध में कभी किसी को ये कहने की नौबत न आए कि ये तो मेरा हक था कि मुझे मिला नहीं।","मनखु ने डायग्निटी ऑफ सिटिजन,मनखुना जीवई मा इजतु मळे,डिलीवरी ना सम्बन्धु मा कदिक कईनाने यु केवा नी वात्यु नी आवे के यी ते मारा हक हतो के मने मल्यु नी"
241,कई भागों में रति और कामदेव की पूजा की जाती है।,घणा भागों मा रति अन कामदेव नी पूजा करता जाए से |
431,"भारत के हजारों साल के इतिहास को समझिए, आप हमें संकट मत मानिए, आप उन तरकीबों से न जुड़िए,","भारत ना हजारों वरहां ना इतिहास ने हमजों , तमु अमुने आफत मत मानों ,तमु तिना ढंग थी मत जोडाओं।"
