Hindi,Gondi
"एक हास्य कलाकार, अपनी बातों से, हर किसी को हंसने के लिए मजबूर कर देता है।","वर्रोर कविहवाला जेलकार, आपुनांग पल्लो, ने सपय कुन कवला काजे मजबुर कितुर।"
देश के अलग-अलग हिस्सों में इस तरह के कई प्रयास जारी हैं।,बुम ते कोटुह-कोटुह ने इदाम ना कोसित चालू मन्ता।
भारतीय समुद्र पार की यात्रा रोमांच के साथ ज्ञान का भी माध्यम है।,भारतीय समुन्द पार कीयाना यात्रा कूबैय गिर्रदा त संग-संग ज्ञान त गेला मावा जरिया आन्द।
मैं भाई जगदीश त्रिवेदी जी को उनके सामाजिक कार्यों के लिए बहुत-बहुत शुभकामनाएं देता हूँ।,"नना, तमोर्र जगदीश त्रिवेदी जीन ओनंग बुमकाल बूतोना बाटा कुबैय-कुबैय आसिद हिययतोना।"
समुद्र की सुंदरता हर पल बदलती है।,समुन्द त सोबा गड़ी-गड़ी बदले मान्ता।
"आलसीराम का एक ही मंत्र है: ""आलस्य में सुख है""।",आलसीराम न उन्द गुन आन्द असादी ते सुख मता।
"जिससे मरीजों का जीवन आसान बनेगा, उनकी परेशानी कुछ कम होगी।",अदेनाय गिरहोलरा जीनगी सरेल बने मायर ओना दुख उच्चुय कमी आयर।
आपका बहुत-बहुत धन्यवाद।,नीकुन वेल्लेय-वेल्लेय सेवामान।
इसमें बड़े-बड़े अनुभवी कलाकार भी हैं।,इप्पे बेरहोर-बेरहोर पुन्दलेर जेलकारलोर गला मंतोर।
नदियों का जल घरेलू उपयोग में भी आता है।,बेरेल त एर्ट लोता उपयोग ते गल्ला वायता।
ये संस्था आंध्र प्रदेश के श्रीकाकुलम में है और इसका नाम है ‘बेलजीपुरम यूथ क्लब’।,इद संस्था आन्ध्र्र प्रदेश ता श्री काकु लम ते मन्ता अन इदेना पोरोय मन्ता बेलजी पुरम यूथ क्लब।
दरअसल इसके पीछे भी एक दिलचस्प वाकया है।,असलीते इदेना पर्के गला उन्द सोबले पल्लो मंता।
आलसीराम कभी-कभी सोचता है कि यह आलसीपन ठीक नहीं है।,आलसीराम बेसके बेसके सोचे कीन्दूर आन ओर असदपन ठीक आयो।
हिमालय की ऊँचाइयाँ अपार प्राकृतिक सौंदर्य प्रस्तुत करती हैं।,हिमालय त उच्चाई कुबैय पुटले त सोबा तुन वेहला कियायता।
मैं ज्यादा से ज्यादा सुझावों को 15 अगस्त के सम्बोधन में cover करने की कोशिश करूंगा।,ननना कुबैय-कुबैय सलाहीनुंग 15 अगस्त ते वेहनाते बवअमत कियना ता कोसित कियका।
भारतीय पर्वत श्रृंखला में हिमालय सबसे ऊंची और विशाल पर्वत है।,भारतीय मेटा लाईन ते हिमालय सबले अन बेरहा मेटा आन्द।
समुद्र में चंद्रमा की रोशनी में सफर करना जादुई होता है।,समुन्द ते लेन्लेंज त वेहच ते सफर कीयाना जादू लेहका आन्द।
तो आप भी ऐसे उदाहरणों को ज़्यादा से ज़्यादा मेरे साथ शेयर करें।,ते निम्मा गला इदानंग उदाहरणी नूंग जादा से जादा नावा संग वड़ वेहा।
"ऐसे में, तीन दिन पहले जब देश ने पद्म पुरस्कारों का ऐलान किया है, तो ‘मन की बात’ में ऐसे लोगों की चर्चा स्वाभाविक है।",इदमे मुंद दियांग मुन्ने इद देश ते पद्मा पुरस्कारी नुंग वेहतुर तो (मन की बात) गोक ता पोल्लो दे इदमना मानेयलोरा बाटा वड़कना जरूरी आंद।
