Unnamed: 0,Hindi,Mundari
53095,टिसु-उनलोगों में पाप गलत कामों को नहीं देखा गया है।,टिसु-इनकुरे पोएपाप का लेलत्र्प्रकना।
62345,जोजोहातु- तुम्हारे पिताजी के दरवाजे में मैं गयी थी क्या ? लम्बी दांतों वाली प्रेत !,जोजोहतु - हपुमअः दुअरते चि’नाइङ सेनकेना? डड़ोसा एरा!
82103,"सुखी रहो बाबू, अच्छे हो न?","बुगिआकान तइनमे, बाबू। बुगिगे आपे चि?"
17136,महामारी के प्रकोप से दुनिया कुछ ही दिनों में बदल गई थी।,महामारीअः बलय ते गोटा दुनिया हुड़िङ दिन रे गे बदलव लेना।
73131,"ये लोग इतने घने जंगलों में रहते हुए भी, वे नागपुरिया या हिन्दी में बात करते हैं, इसलिए मुझको संदेह हो रहा है।",इनकु अमिनङ बिर दिसुमरेको तइनतनरेओ दिकुतेको जगरअ; एनामेनते अड़अः उड़ू: कअः इञअ।
85611,"उसकी बेटी (सुकुरु) - बाबा! कुदाल चलाने गया है, शायद अभी‌ तुरंत आएगा।","होनते कुड़ि (सुकुरु) - चलुःते, अबाए सेनअकना; नेःगेए हिजुअ जाअः ।"
51384,"कई प्रकार के संकट, समस्या, परेशानी भुख - प्यास दुखः - दर्द से भारत और झारखंड राज्य फैला और बना है।","रोकोम सोकोटो, बलय, सदोव, रेंगे-तेतंङ दुःखु-दसा ते भारत दिसुम च झारखंड राइज फैल लेना च बइअ कना।"
64142,"नदी से वापस आने के बाद, दतुवन मद्य बांटा गया, इसके बाद खस्सी काटा गया।","गड़ाएतेको रकब्जनते, करकद् इलि तिलजना; एन तयोमतेदो मेरोमको मअःजना।"
43437,इसमें केंद्रीय सरकार प्रांतीय या स्ािानीय सरकारों को आदेश दे सकती है।,नेअ रे केंद्रीय सरकार प्रांतीय च स्थानीय सरकार को ए आदेश ओम दड़िअ कोअ।
96778,यही बात करते हुए आप हमारे पास पहूँच गयीं।,एनतअ: जगरजद् लोःदोम तेबअः तद्लेअ ।
91615,गांव वालों को डाल्टन के आने की खबर पहले ही मिल चुकी थी जिससे गांव वाले पहाड़ी की चोटी पर चले गये।,डाल्टन हिजुःअ मेनेअः हातु होड़ो को सिदा रेगे को इतु लअः एना मेन्ते इनकु बुरु चुटि तेको सेनोः जना।
70431,इसी समय कुछ बन्दर आये और छोटी लड़की काे उठा ले गये।,एना लोः दो गड़ी को हुड़िङ नीः को अरकीद किःया।
1905,बैलगाड़ी में भैंसों को भी जोतते हो?,उरिःसगडिरेकेडा को कोचिपे जोड़ाजकोआ?
4087,"कविता- हाँ, हाँ एक बार मैं अपने छत से चाँद को देख रही थी।",कविता- हे! गे मिसा अइञ् ओड़अः चेतना आते चंडुः केइङ लेल तन तइकेना।
71688,"मैं अच्छा हो सकता हॅू कि अच्छा नहीं हो सकता हॅू कहके मैंने दोनों वैद्यों से पहले से मालूम किया, वृद्धावस्था में इस बीमारी से अधिकतर मर रहे हैं।","""बुगिओअइङ चि काइङ बुगिओ मेनतेदो बुइदिकिङ ओते अइङ सिदारे मुनडिलअः; हड़मरे ने दुकु नमकेद्को पुरअःतेको गोजोःतनगे।"
22900,"Over Bridge और स्कूल की दीवारों से लेकर झुग्गी-झोपड़ियों तक, उन्होंने अपने हुनर को उकेरना शुरू किया तो लोगों का साथ भी मिलता चला गया और एक प्रकार से यह सिलसिला चल पड़ा।","ओबर ब्रिज ओड़ोः इसकुल रेअः भीइत छपरी आते कंबा गुथुः जकेद, इनिः अएअः होनर के देखाओ एटेः केदा तोबे दो होड़ोकोअः देंगाओ नम इदिजना गेआ ओड़ोः मोद् रोकोम ते ने सिलसिला सेनोः होबाजना।"
31102,लेकिन यह केवल रेडियो ही नहीं है जिसके माध्यम से लोग इस कार्यक्रम में जुड़ रहे हैं।,मेन्दो नेआ रेडियो बारि दो का तनाः ओकोअ होराते चि होड़ोको ने कार्यक्रम रेको जुड़ावेन तना।
56557,एक बार एक गांव में प्रेतात्मा को वश में करने के लिए और डायन गुण भ्रष्ट हो जाय कहके उनको ले जाया गया था।,"मिसा मिअद् हतुते बोंगा काबु मेनते ओड़ोः नजोम बो, नडो मेचतेको इदिलिःअ।"
