English,Bhili
"even if the stove of our poor's house is burning, the mother of the poor will never have to sleep in tears and for this, we are running a free treatment scheme.","भळे स अमारा गरीबु ना घेर सुल्ला बळता रेहे, गरीबुनी आई कडी पण आंहवां पी पीने हुवा नी पडे अने इना हारु मोफतु दवा दारु नी ओजना अमारी सालीरी से ' ।"
"kamal haasan began his career as a child artist in 1960 with the tamil-language film kalathur kannamma, for which he won the president's gold medal.",कमल हसन थी ओगणी हो हा ठ मा तमिल भाषा नी फिल्म कल्तुर कन्नम्मा ना नाना काम करवा वाला ना रूप मा आपडा काम ना समय नी शुआत करी जिना लि दे तिना यी राष्ट्रपति ना हू नाना पदक जित्या से |
"he was admitted to the hospital, but his health continued to deteriorate.",उने अस्पताल म भर्ती कर देदु पर तीना तबीयत खराब थाई गी।
"in our country, the supreme court has repeatedly discussed the uniform civil code.",अमारी देश मां मोटी कोरट मां बार-बार uniform civil code नी लीने वाते की से।
"according to hindu sources he met nanda there, and according to pali-language buddhist sources he met dhana nanda.",हिंदु स्थानों ना अनुसार त्या तहा नंद थी मलीया अने पाली भाषा ने बौद्ध स्थानों ना अनुसार त्यो धन नंद थी मलीया।
"so far, 9 lakh crore rupees have been received by these women self-help groups through banks and with the help of which they are increasing their multidisciplinary work.",हमणा हुदी 9 लाख करोड़ रुपिया बेकु थी अमारी इनी वूमेन सेल्फ हेल्प ग्रुप ने मळिया से अने विहुनी मददु थी वी आपड़ा घणाखास कामु ने वदारी र्या से ।
these tribal-dominated villages will work to improve the socio-economic life there. this will benefit more than 50 million of my tribal brothers and sisters of the country.,इनां आदिवासी बहुल गांमुं त्या सामाजिक - आर्थिक जीवन ने हदारवा हारू काम करहे । इना थी देश ना 5 करोड़ थी वदारे मारा आदिवासी भाई - बहनों ने नफो थाहे ।
our army personnel have shown what it means to live for the nation. now we are becoming self-reliant in the defence sector due to this.,देश हारू जीवू हूं थाए से यो हमारा सेना ना जवानों ही देखाईयू से हाउ इना लेदे डिफेन्स सेक्टर मां हमु आत्म निर्भ र थाता जाई रिया से।
"the duo were earlier management professionals in bengaluru, but they decided to come to kalahandi and work with the villagers.",इन्हंये माणिकास्तों एग्रो नी थापण करी। अन करसाण नां हातें मळिन एक गोट लेंक सालू करयों जी बोकड़ा पाळवा नों बढावों दे से।
"prime minister: so, in a way, you are completely moving towards natural farming?",प्रधानमंत्री: ती तमुं आरवी वळे परकट वळी खेती उपर जाइरी से।
this belief is the product of long-term hard work and hence the common human memory of the country.,यो भरोहो लाबा टेम नां मेनत नों ऊगाडेंलों से अनें इनांहारूं देह नां हुदां मनखुं हमकाणं राखें से।
so one of the units of that would be to reduce the interference of the government in the life of the common man.,ते तिहुनी एक ईकायु व आहें के जन मनखुना जीवाई मा सरकारें दी अड़ंगु थोडुक होये ।
baz bahadur continued to live as a refugee in various courts until he found employment under akbar eight years later in 1570.,अनुशिक्षक न वसम इने सिखा ड यू से |
rati and kamadeva are worshipped in many parts.,घणा भागों मा रति अन कामदेव नी पूजा करता जाए से |
"when those tribal friends of ours get that help, the schemes that reached them through pm jan-mann, the population is very small.","जेरा अमारा तिहुन आदिवासी हातवाळा ने वी मददु मळती से, पीएम जनमन थी तिहुने जी ओजाना युं मोकळी हती, गामु मां मनखु घणां थोड़ांक से ।"
"after the victory, the marathas restored madhavrao peshwa to the throne and regained their supremacy.",जीत न बाद मराठा ने माधवराव पेशवा ने राजगद्दी पर बेहाडा अने आपडू काम पासु लेदू।
"she was bubbly, intelligent and beautiful, and it was for these reasons that jahangir was attracted to her.",आ चुलबुली बुद्धिमती अने सुन्दर हाती अने इना कारणो थी जहांगीर तिनी तरफ आकर्षित थाया (तिनी तरफ)
i respectfully bow to all such people today.,"हुँ, आज ऐवा बदांनें मानथी जोहार करूं से।"
"india is proud of its youth power, and the more our youth partners participate in the electoral process, the more beneficial the results will be for the country.","भारत नें आपड़ा जुवान्यिा उपर गटनर से। जैतरी भागीदारी युवा-पीढी करेहे, सुणांव मां फाइदों सरकार नें स थाहे।"
maintaining distance in society towards the corrupt will only make any corrupt person afraid to go down that path.,रिंश्वतखोरी ना लेदे समाज मां दूरी बणावाा ही कइना रिश्वत लेवा वाला न तिने रस्ते पर जावा थी समक लागहे
he served as the home minister during the political integration of india and the indo-pakistani war of 1947.,पटेल नो जनम नडियाद खेडा जिला माँ थायो अने इना खा ण पा ण गुरज रात राज्य ना गावड़ा इलाका माँ थायो |
"in april, india decided to assist in the formation of the new nation of bangladesh.",अप्रैल मा भारत ने बांग्लादेश नो नवु राष्ट्र वणा मा मदद करवा ना नो फेसलो करयो।
"be it our farmers, our jawans, the courage of our youth, the contribution of our mothers and sisters, the downtrodden, the oppressed, the deprived.","जोवेकी त्यों हमांरो करषांण होए, हमांरों जवान होए, हमांरो नौ जुवान नों होसलों होए, हमांरी माता-बुहनीयों नों योगदांन होय, दलित होए, दुखीयारां होए, शोषित होए, सुटेलां होए,"
"he came to live with his wife and children in a rented house with his mother, uncle and other members of his extended family.",त्ये अपड़ी आया काका अने आपडी वडार परिवार ना बिजा सदस्यों ने हाते किराया ना मकान मा आपडी बयेर अने पोरीया ने हाते रहने आया ।
"the mauryan control of the region is attested by the rock inscription, which suggests that chandragupta held sway over the malwa region, located between gujarat and pataliputra in central india.",इना क्षेत्र ना मोर्य नियंत्रण नी पुष्टि भाटा ऊपर लिख्या शिला लेख थी था ए से तिनमा पतों सलाहे कि चन्द्रगुप्त यी वस् मा ना भारत गुजरात अन पाटलिपुत्र ना वस् मा स्थित मालवा क्षेत्र ऊपर खुद नो अधिकार जामडी लेदेलो |
tod's version was a composite of several sources of padmini's life story and a jain monk named gyanchandra assisted tod in researching the main sources relating to padmini.,टाड ना संस्करण पद्धिनी ना जीवन नी वरतार ना घणा ना एक सम्मिश्रण हटा आने ज्ञान चन्द्र नामक एक जैन बाबा ने पद्धिनी थी तीनानी हाते सम्बंधित खास ने खोज (शोध) माँ टाड नी मदद करी \
i bow to them and assure them that we have to move forward with new heights and new zeal.,"हु तिहु ना हारू माथु नवादिने रेहतों से, अने हुं तिहुने भरोहो आलिर्या से के हमुने नवी उसाईयु ने, नवा जोश ना होते अगळ बढ़वु से।"
"manekshaw was evacuated from the battlefield by his orderly, sher singh, who took him to an australian surgeon.",मानेकशा के युद्ध /लड़ाई के मैदान थे एहने अर्दली शेरसिंह हारू निकालो ग्यो त्यों एहने ऑस्ट्रेलिया ई शल्यचिकित्सक के पास माँ ली ग्यो |
percussionists perform complex forms of tala and display their skills.,तालवादक लाल मां एक मोटू गावो मा जाणवा नो लायू से
"but no one gave importance to his dream, no importance was given to his hopes, aspirations, expectations.","पुनें तिनानें हपनों नें कईंनाईं तवज्जों नी आली, तिनीं आशा, आकांक्षाओं, अपेक्षाओं, को तवज्जो नीं आली।"
news divine has been open for three years and in that time it has been closed three times by law.,खबर डिवाइन तान साल खुलिया हाथो ऐवु इन समय मा इसे नियम हाथे तान बार बंदे किया जा चुका है |
"chandragupta's life and achievements are described in ancient hindu, buddhist, jain, and greek texts.","चंद्रगुप्त ना जीवन अने सफलता नो वर्णन पुराना हिंदू ,बौद्ध ,जैन अने यूनानी ग्रंथों मा करीयो गयु।"
"according to appian, seleucus i nicator, one of alexander's macedonian generals, founded the seleucid empire in 312 bc with babylon as its capital and annexed persia and bactria, thereby cutting the eastern border of his empire to chandragupta's empire.",एप्पीयन नी अनुसार सिकंदर ना मकदूनियाई सेना नो सान माहती एक सेल्यूकस पेह्लो निकेटर ना 312 ई सा पेह्लो बेबीलोन नी राजधानी बणावी न सेल्युसिड साम्राज्य नी स्थापना नी अन फारस अन बैक्ट्रिया ना आपडा अधिकार मा लेदो तिनयी तिनायो साम्राज्य नी उगमणी हिमा ना चन्द्रगुप्त ना साम्राज्य थी मली गी |
"patients will lose some of their peripheral vision after this surgery, although it is hardly noticeable to the patient.",इनी अपरेशन ने बाद मादो आपडी कोई परिधीय देखवानी खोई दे पण मांदा ने आफत थी इना पर ध्यान जावे से |
